Mês Ano,Área de atuação (Função),Subfunção,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos,Unnamed: 7,Ano
08/2015,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"3.438.269,50","3.615.012,64","3.569.580,56","8.919,41",,2015
08/2015,10 - Saúde,121 - Planejamento e orçamento,"7.458.940,22","376.549,30","376.549,30","1.385.140,55",,2015
08/2015,10 - Saúde,126 - Tecnologia da informação,"39.698.754,93","42.019.082,94","34.860.597,76","170.547,88",,2015
08/2015,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"- 14.377.690,00","29.473.060,68","29.074.423,86","4.237.181,92",,2015
08/2015,10 - Saúde,511 - Saneamento básico rural,"5.590.591,98","2.568.370,96","2.705.881,39","4.277.268,62",,2015
08/2015,10 - Saúde,125 - Normatização e fiscalização,"- 263.290,67","2.496.960,84","2.331.450,74","- 5.336,65",,2015
08/2015,10 - Saúde,303 - Suporte profilático e terapêutico,"818.260.016,65","1.105.722.591,95","971.956.598,62","32.052.794,95",,2015
08/2015,10 - Saúde,304 - Vigilância sanitária,"41.393.072,14","40.091.078,98","25.213.684,17","632.729,56",,2015
08/2015,10 - Saúde,512 - Saneamento básico urbano,"- 29.389.384,49","13.279.209,04","13.281.160,79","21.377.813,70",,2015
08/2015,10 - Saúde,128 - Formação de recursos humanos,"12.444.090,54","101.141.540,47","101.978.835,88","2.268.536,08",,2015
08/2015,10 - Saúde,423 - Assistência aos povos indígenas,"88.076.842,14","59.490.752,56","59.892.212,49","1.564.651,62",,2015
08/2015,10 - Saúde,305 - Vigilância epidemiológica,"239.031.964,12","368.139.057,51","213.600.592,61","7.973.228,10",,2015
08/2015,10 - Saúde,122 - Administração geral,"135.248.283,55","804.043.208,84","782.295.391,24","41.416.594,09",,2015
08/2015,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"- 15.230.613,80","42.252.359,92","42.460.627,16","500,00",,2015
08/2015,10 - Saúde,301 - Atenção básica,"727.102.412,60","1.073.125.654,99","1.103.495.641,45","94.752.876,84",,2015
08/2015,10 - Saúde,571 - Desenvolvimento científico,"40.928.774,16","37.842.287,24","40.317.711,68","6.557.251,20",,2015
08/2015,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"796.954.546,39","3.701.385.357,97","3.586.775.632,38","72.881.129,51",,2015
09/2015,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","0,00",,2015
09/2015,10 - Saúde,183 - Informação e inteligência,"0,00","0,00","0,00","47.090,00",,2015
09/2015,10 - Saúde,306 - Alimentação e nutrição,"7.973,00","0,00","0,00","397.246,90",,2015
09/2015,10 - Saúde,124 - Controle interno,"97.282,43","6.449,45","6.449,45","71.081,31",,2015
09/2015,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","855.377,45","1.190.887,16","1.139.212,34","0,00",,2015
09/2015,10 - Saúde,512 - Saneamento básico urbano,"9.551.331,52","18.936.750,86","16.302.788,67","16.403.405,89",,2015
09/2015,10 - Saúde,541 - Preservação e conservação ambiental,"- 8.212,01","356.998,00","44.973,58","0,00",,2015
09/2015,10 - Saúde,121 - Planejamento e orçamento,"598.708,10","3.206.321,37","3.206.321,37","415.048,85",,2015
09/2015,10 - Saúde,511 - Saneamento básico rural,"1.295.964,90","2.110.594,56","2.119.960,98","4.084.147,66",,2015
09/2015,10 - Saúde,126 - Tecnologia da informação,"- 10.471.872,57","36.061.238,14","29.285.468,42","1.110.107,08",,2015
09/2015,10 - Saúde,128 - Formação de recursos humanos,"16.987.704,78","55.726.502,86","52.587.592,40","5.500.542,29",,2015
09/2015,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","223.001,50","6.488.462,66","3.767.361,62","662.527,47",,2015
09/2015,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"8.269.805,98","45.304.944,05","45.293.084,37","0,00",,2015
09/2015,10 - Saúde,305 - Vigilância epidemiológica,"211.175.005,13","565.661.181,58","232.851.394,20","5.724.943,53",,2015
09/2015,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"5.623.771,07","4.887.999,91","4.761.921,49","21.695,55",,2015
09/2015,10 - Saúde,122 - Administração geral,"158.113.294,90","760.941.036,29","777.379.976,33","62.356.582,93",,2015
09/2015,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"- 12.570.889,53","14.665.048,83","13.239.652,47","3.268.831,10",,2015
09/2015,10 - Saúde,303 - Suporte profilático e terapêutico,"571.797.571,20","859.542.602,90","953.374.564,53","10.346.688,85",,2015
09/2015,10 - Saúde,304 - Vigilância sanitária,"10.483.226,74","26.132.980,72","25.876.464,98","572.483,58",,2015
09/2015,10 - Saúde,423 - Assistência aos povos indígenas,"9.853.312,39","231.345.242,36","230.431.841,15","1.281.937,87",,2015
09/2015,10 - Saúde,131 - Comunicação social,"10.637.101,41","14.007.649,21","4.796.979,18","81.115,90",,2015
09/2015,10 - Saúde,125 - Normatização e fiscalização,"2.333.966,35","2.992.503,43","2.819.826,43","6.347,33",,2015
09/2015,10 - Saúde,301 - Atenção básica,"1.103.032.855,38","1.953.688.128,25","2.101.554.010,25","160.300.676,01",,2015
09/2015,10 - Saúde,571 - Desenvolvimento científico,"31.047.712,20","38.347.599,43","38.962.866,82","2.228.421,80",,2015
09/2015,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"161.826.114,32","3.706.331.645,79","3.829.459.126,15","127.085.290,36",,2015
10/2015,10 - Saúde,183 - Informação e inteligência,"0,00","0,00","0,00","301.183,20",,2015
10/2015,10 - Saúde,124 - Controle interno,"0,00","13.081,32","13.081,32","227.605,75",,2015
10/2015,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","237.980,70","428.378,50","821.334,96","0,00",,2015
10/2015,10 - Saúde,306 - Alimentação e nutrição,"0,00","677.145,50","723.400,00","192.869,25",,2015
10/2015,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","26.000,00",,2015
10/2015,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"4.452.844,19","2.515.570,01","2.306.645,82","80.769,59",,2015
10/2015,10 - Saúde,125 - Normatização e fiscalização,"4.145.792,62","4.034.802,51","3.695.724,56","72.428,10",,2015
10/2015,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"- 2.075.293,36","16.925.994,33","17.978.959,51","3.784.599,33",,2015
10/2015,10 - Saúde,131 - Comunicação social,"14.045.415,02","11.378.109,91","4.843.069,37","0,00",,2015
10/2015,10 - Saúde,121 - Planejamento e orçamento,"333.692,75","120.884,92","109.289,57","208.572,29",,2015
10/2015,10 - Saúde,511 - Saneamento básico rural,"1.546.350,71","2.343.227,87","2.076.512,52","4.982.663,63",,2015
10/2015,10 - Saúde,541 - Preservação e conservação ambiental,"151.193,25","92.810,28","85.198,64","102.904,84",,2015
10/2015,10 - Saúde,512 - Saneamento básico urbano,"14.279.304,46","14.105.809,89","13.048.041,12","15.423.802,30",,2015
10/2015,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","10.964.388,88","2.744.337,50","5.164.252,10","421.875,80",,2015
10/2015,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"142.771,79","43.767.877,76","43.512.209,31","0,00",,2015
10/2015,10 - Saúde,126 - Tecnologia da informação,"34.387.988,65","30.752.060,80","25.068.571,30","456.410,44",,2015
10/2015,10 - Saúde,122 - Administração geral,"- 90.819.433,92","787.242.323,41","781.236.168,38","39.659.775,69",,2015
10/2015,10 - Saúde,128 - Formação de recursos humanos,"752.692,81","114.315.609,42","115.739.492,34","1.406.175,38",,2015
10/2015,10 - Saúde,301 - Atenção básica,"1.361.836.522,93","1.513.861.902,23","1.605.914.609,61","9.371.952,18",,2015
10/2015,10 - Saúde,303 - Suporte profilático e terapêutico,"993.371.113,40","1.287.786.632,43","1.241.449.939,95","9.700.856,71",,2015
10/2015,10 - Saúde,571 - Desenvolvimento científico,"22.342.430,96","26.565.180,66","25.112.366,52","3.937.008,39",,2015
10/2015,10 - Saúde,423 - Assistência aos povos indígenas,"47.251.441,06","47.309.007,46","36.587.067,72","1.153.320,49",,2015
10/2015,10 - Saúde,305 - Vigilância epidemiológica,"264.581.460,46","500.518.080,89","917.997.562,30","6.354.053,09",,2015
10/2015,10 - Saúde,304 - Vigilância sanitária,"10.397.758,56","11.520.316,86","26.474.169,85","488.928,35",,2015
10/2015,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"2.298.888.981,47","3.809.326.548,19","3.758.512.723,87","314.031.010,95",,2015
11/2015,10 - Saúde,124 - Controle interno,"0,00","1.695,64","1.695,64","0,00",,2015
11/2015,10 - Saúde,131 - Comunicação social,"16.866.276,65","17.389.971,92","16.461.422,59","0,00",,2015
11/2015,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","90.292,20","111.644,06","111.644,06","0,00",,2015
11/2015,10 - Saúde,183 - Informação e inteligência,"0,00","0,00","0,00","54.382,40",,2015
11/2015,10 - Saúde,541 - Preservação e conservação ambiental,"717.455,14","136.117,81","102.868,93","0,00",,2015
11/2015,10 - Saúde,121 - Planejamento e orçamento,"321.481,14","233.766,62","234.263,47","265.542,84",,2015
11/2015,10 - Saúde,306 - Alimentação e nutrição,"7.517.497,00","7.422.572,98","0,00","923.758,99",,2015
11/2015,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"3.728.600,81","4.319.551,48","4.091.739,03","665,00",,2015
11/2015,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","344.554,03",,2015
11/2015,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","630.127,95","7.747.412,13","5.278.269,23","768.770,89",,2015
11/2015,10 - Saúde,125 - Normatização e fiscalização,"3.147.883,16","2.504.777,36","2.949.013,08","3.707,24",,2015
11/2015,10 - Saúde,126 - Tecnologia da informação,"17.509.085,09","24.629.377,08","23.024.488,98","797.119,32",,2015
11/2015,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"12.672.181,74","43.259.667,66","43.750.011,98","0,00",,2015
11/2015,10 - Saúde,511 - Saneamento básico rural,"14.602.040,77","2.023.292,58","2.018.942,97","5.771.572,01",,2015
11/2015,10 - Saúde,304 - Vigilância sanitária,"598.895,25","5.365.767,06","5.276.634,55","85.086,48",,2015
11/2015,10 - Saúde,303 - Suporte profilático e terapêutico,"273.311.655,77","537.793.872,31","637.704.474,71","19.299.144,37",,2015
11/2015,10 - Saúde,305 - Vigilância epidemiológica,"127.346.792,45","202.960.093,56","182.167.638,13","1.349.353,17",,2015
11/2015,10 - Saúde,128 - Formação de recursos humanos,"11.536.748,75","95.715.656,79","95.790.353,47","2.215.468,62",,2015
11/2015,10 - Saúde,571 - Desenvolvimento científico,"24.781.054,93","19.909.332,63","16.628.132,89","2.796.980,37",,2015
11/2015,10 - Saúde,512 - Saneamento básico urbano,"60.143.799,06","15.868.921,10","17.219.478,18","18.527.905,72",,2015
11/2015,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"6.079.887,90","19.768.133,73","19.105.488,89","8.658.003,92",,2015
11/2015,10 - Saúde,301 - Atenção básica,"1.012.755.844,12","1.319.040.252,18","1.171.202.647,18","398.509.535,94",,2015
11/2015,10 - Saúde,122 - Administração geral,"359.376.415,86","1.122.236.068,71","956.433.376,86","18.377.837,81",,2015
11/2015,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"3.201.407.223,93","3.497.332.653,36","3.433.577.201,26","91.204.928,50",,2015
11/2015,10 - Saúde,423 - Assistência aos povos indígenas,"49.048.100,33","47.380.785,88","37.597.509,68","1.007.440,00",,2015
12/2015,10 - Saúde,243 - Assistência à criança e ao adolescente,"0,00","0,00","0,00","2.249,23",,2015
12/2015,10 - Saúde,183 - Informação e inteligência,"0,00","0,00","0,00","120.087,00",,2015
12/2015,10 - Saúde,124 - Controle interno,"781.934,50","1.931,03","1.931,03","314.331,00",,2015
12/2015,10 - Saúde,306 - Alimentação e nutrição,"2.196.674,25","12.973,00","8.112.691,48","90.674,74",,2015
12/2015,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","10.438.288,83","5.668.399,01","7.938.636,65","889.665,58",,2015
12/2015,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","11.244,11","33.041,62","33.041,62","0,00",,2015
12/2015,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","1.613.750,98",,2015
12/2015,10 - Saúde,541 - Preservação e conservação ambiental,"8.714.237,91","378.542,52","333.552,01","151.895,00",,2015
12/2015,10 - Saúde,512 - Saneamento básico urbano,"201.590.275,66","13.407.553,39","11.477.818,41","25.148.921,52",,2015
12/2015,10 - Saúde,125 - Normatização e fiscalização,"2.519.880,00","4.426.965,71","4.661.462,71","- 17.002,35",,2015
12/2015,10 - Saúde,128 - Formação de recursos humanos,"54.720.558,71","79.004.638,98","77.569.654,06","4.260.206,68",,2015
12/2015,10 - Saúde,131 - Comunicação social,"66.690.572,05","14.644.420,06","29.976.003,03","14.382,50",,2015
12/2015,10 - Saúde,511 - Saneamento básico rural,"77.641.893,76","4.271.810,54","4.578.503,88","12.552.011,25",,2015
12/2015,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"4.551.675,18","7.648.302,83","8.222.241,78","1.564,79",,2015
12/2015,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"11.764.180,35","43.147.786,30","42.508.257,81","0,00",,2015
12/2015,10 - Saúde,423 - Assistência aos povos indígenas,"107.157.582,53","46.400.560,27","71.514.435,78","1.510.028,20",,2015
12/2015,10 - Saúde,121 - Planejamento e orçamento,"2.252.548,16","222.018,96","226.938,46","211.697,14",,2015
12/2015,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"37.361.043,05","26.428.651,70","27.646.231,00","1.868.773,25",,2015
12/2015,10 - Saúde,305 - Vigilância epidemiológica,"794.730.272,88","244.483.669,96","185.347.223,47","4.657.147,58",,2015
12/2015,10 - Saúde,122 - Administração geral,"714.487.251,29","1.058.890.234,51","1.234.261.656,41","40.123.227,58",,2015
12/2015,10 - Saúde,304 - Vigilância sanitária,"93.289.445,80","93.125.948,72","93.358.479,41","331.368,09",,2015
12/2015,10 - Saúde,126 - Tecnologia da informação,"43.863.404,73","49.248.038,69","71.526.416,31","428.551,56",,2015
12/2015,10 - Saúde,303 - Suporte profilático e terapêutico,"1.266.959.340,45","1.045.942.628,09","1.047.677.691,94","7.975.721,91",,2015
12/2015,10 - Saúde,301 - Atenção básica,"828.751.229,01","1.240.376.739,54","1.403.438.120,63","206.803.620,05",,2015
12/2015,10 - Saúde,571 - Desenvolvimento científico,"8.664.876,01","20.134.543,60","27.549.611,17","1.378.442,90",,2015
12/2015,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"5.468.090.849,64","4.521.724.378,04","4.648.448.062,38","180.634.880,27",,2015
01/2016,10 - Saúde,124 - Controle interno,"10.500,00","970,19","970,19","0,00",,2016
01/2016,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","273.247,48","247.786,89","247.786,89","2.181,95",,2016
01/2016,10 - Saúde,306 - Alimentação e nutrição,"0,00","0,00","0,00","125.635,15",,2016
01/2016,10 - Saúde,183 - Informação e inteligência,"0,00","0,00","0,00","451,20",,2016
01/2016,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","641.673,45",,2016
01/2016,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","4.948.950,56","40.055,63","40.055,63","1.901.951,22",,2016
01/2016,10 - Saúde,131 - Comunicação social,"21.063.471,37","1.061.420,37","1.061.420,37","4.012.118,41",,2016
01/2016,10 - Saúde,541 - Preservação e conservação ambiental,"0,00","0,00","0,00","91.795,48",,2016
01/2016,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"429.459,70","427.958,57","427.958,57","336.284,48",,2016
01/2016,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"19.822.694,10","14.712.140,55","14.712.140,55","17.578.280,93",,2016
01/2016,10 - Saúde,125 - Normatização e fiscalização,"4.012.374,78","252.287,45","161.278,26","1.793.730,94",,2016
01/2016,10 - Saúde,126 - Tecnologia da informação,"43.412.688,44","1.051.978,10","702,29","10.386.381,72",,2016
01/2016,10 - Saúde,511 - Saneamento básico rural,"947.054,41","106.660,35","106.660,35","5.562.813,30",,2016
01/2016,10 - Saúde,304 - Vigilância sanitária,"5.263.683,83","661.233,89","660.066,72","1.072.177,47",,2016
01/2016,10 - Saúde,305 - Vigilância epidemiológica,"674.773.709,10","75.045.811,92","73.289.428,89","569.771.852,90",,2016
01/2016,10 - Saúde,512 - Saneamento básico urbano,"3.515.223,31","0,00","0,00","46.811.042,71",,2016
01/2016,10 - Saúde,301 - Atenção básica,"3.222.862.886,27","1.585.466.211,02","1.585.454.788,56","40.916.894,59",,2016
01/2016,10 - Saúde,571 - Desenvolvimento científico,"24.344.829,24","13.558.886,01","12.489.834,48","8.996.813,84",,2016
01/2016,10 - Saúde,128 - Formação de recursos humanos,"49.728.017,05","39.594.150,09","39.569.950,09","40.714.324,47",,2016
01/2016,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"395.204.052,90","56.823.147,62","55.786.975,08","1.598.231,76",,2016
01/2016,10 - Saúde,122 - Administração geral,"8.580.318.717,69","782.915.514,22","769.886.325,90","34.921.517,16",,2016
01/2016,10 - Saúde,423 - Assistência aos povos indígenas,"173.101.395,31","30.318.715,18","29.134.740,65","7.341.637,71",,2016
01/2016,10 - Saúde,121 - Planejamento e orçamento,"670.975,04","9.796,24","9.796,24","3.810.201,81",,2016
01/2016,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"3.057.490.396,03","2.816.962.740,02","2.781.689.655,68","278.798.659,78",,2016
01/2016,10 - Saúde,303 - Suporte profilático e terapêutico,"3.983.276.706,83","159.149.155,12","157.442.327,36","570.580.583,30",,2016
02/2016,10 - Saúde,846 - Outros encargos especiais,"0,00","0,00","0,00","676.671,00",,2016
02/2016,10 - Saúde,183 - Informação e inteligência,"0,00","0,00","0,00","117.114,00",,2016
02/2016,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","696.469,21",,2016
02/2016,10 - Saúde,124 - Controle interno,"3.000,00","3.462,21","3.462,21","172.154,37",,2016
02/2016,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","519.798,79","88.791,34","88.791,34","0,00",,2016
02/2016,10 - Saúde,541 - Preservação e conservação ambiental,"0,00","0,00","0,00","215.817,15",,2016
02/2016,10 - Saúde,121 - Planejamento e orçamento,"145.231,00","82.734,67","82.734,67","873.078,60",,2016
02/2016,10 - Saúde,511 - Saneamento básico rural,"2.451.348,37","686.608,83","634.108,83","8.510.747,23",,2016
02/2016,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","3.200.568,24","4.568.134,65","4.568.134,65","7.398.537,19",,2016
02/2016,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"3.688.056,93","6.075.217,60","2.468.324,84","5.582.747,94",,2016
02/2016,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"35.779.301,36","52.223.507,92","52.190.135,00","559.110,63",,2016
02/2016,10 - Saúde,125 - Normatização e fiscalização,"5.354.876,85","1.714.830,05","1.805.839,24","554.015,60",,2016
02/2016,10 - Saúde,306 - Alimentação e nutrição,"0,00","0,00","0,00","52.146,38",,2016
02/2016,10 - Saúde,131 - Comunicação social,"56.560.706,29","560.606,29","560.499,85","17.765.151,42",,2016
02/2016,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"1.741.153,18","1.254.330,33","1.250.204,48","286.337,54",,2016
02/2016,10 - Saúde,423 - Assistência aos povos indígenas,"79.522.948,85","135.836.158,09","124.634.198,52","69.073.503,58",,2016
02/2016,10 - Saúde,303 - Suporte profilático e terapêutico,"1.665.163.425,30","1.012.470.269,71","940.815.582,28","213.342.634,60",,2016
02/2016,10 - Saúde,305 - Vigilância epidemiológica,"72.708.341,97","49.099.493,76","27.140.963,58","28.263.043,22",,2016
02/2016,10 - Saúde,301 - Atenção básica,"2.599.209.543,20","1.416.191.256,22","1.262.364.787,96","137.094.864,47",,2016
02/2016,10 - Saúde,126 - Tecnologia da informação,"77.818.663,44","48.494.710,58","37.643.439,81","22.405.421,80",,2016
02/2016,10 - Saúde,304 - Vigilância sanitária,"3.194.116,01","2.804.020,67","2.793.898,86","1.785.341,91",,2016
02/2016,10 - Saúde,128 - Formação de recursos humanos,"54.782.344,48","54.308.754,82","54.272.955,82","17.899.097,98",,2016
02/2016,10 - Saúde,512 - Saneamento básico urbano,"21.705.719,72","1.786.115,01","1.287.791,67","63.829.488,86",,2016
02/2016,10 - Saúde,122 - Administração geral,"200.406.847,49","782.620.146,81","776.505.252,70","19.581.413,26",,2016
02/2016,10 - Saúde,571 - Desenvolvimento científico,"18.837.255,43","15.402.395,20","14.620.772,63","9.793.958,14",,2016
02/2016,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"4.030.188.490,07","3.693.396.720,21","3.512.295.011,78","328.878.041,18",,2016
03/2016,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","68.474,19",,2016
03/2016,10 - Saúde,124 - Controle interno,"7.000,00","2.798,44","2.798,44","136.109,27",,2016
03/2016,10 - Saúde,183 - Informação e inteligência,"0,00","0,00","0,00","59.328,44",,2016
03/2016,10 - Saúde,541 - Preservação e conservação ambiental,"0,00","0,00","0,00","472.753,91",,2016
03/2016,10 - Saúde,306 - Alimentação e nutrição,"3.447.322,00","0,00","0,00","38.880,00",,2016
03/2016,10 - Saúde,131 - Comunicação social,"1.985.263,32","2.173.468,28","1.614.401,18","8.017.904,65",,2016
03/2016,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","11.665.279,24","4.572.345,38","4.572.345,38","4.931.944,37",,2016
03/2016,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"40.152.333,45","17.915.053,16","15.900.369,57","5.224.109,77",,2016
03/2016,10 - Saúde,121 - Planejamento e orçamento,"1.315.438,86","131.542,76","131.542,76","462.550,36",,2016
03/2016,10 - Saúde,125 - Normatização e fiscalização,"3.464.345,09","2.766.581,47","2.765.943,87","145.866,47",,2016
03/2016,10 - Saúde,571 - Desenvolvimento científico,"41.782.645,86","22.252.237,77","16.556.209,80","5.590.086,99",,2016
03/2016,10 - Saúde,512 - Saneamento básico urbano,"20.706.287,47","13.632.865,53","12.422.068,23","96.674.526,85",,2016
03/2016,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"2.010.436,83","2.245.078,78","1.893.011,02","520.968,08",,2016
03/2016,10 - Saúde,305 - Vigilância epidemiológica,"1.225.266.984,50","550.622.298,02","424.233.288,78","403.883.199,07",,2016
03/2016,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","440.762,59","743.110,77","616.523,71","0,00",,2016
03/2016,10 - Saúde,126 - Tecnologia da informação,"114.527.433,18","38.918.896,98","35.653.674,71","8.687.325,48",,2016
03/2016,10 - Saúde,511 - Saneamento básico rural,"4.075.892,50","1.294.294,52","1.243.611,87","11.346.977,88",,2016
03/2016,10 - Saúde,128 - Formação de recursos humanos,"152.716.555,50","53.958.587,12","53.573.225,91","2.954.636,17",,2016
03/2016,10 - Saúde,304 - Vigilância sanitária,"31.398.688,28","14.590.283,35","8.912.449,85","1.916.216,05",,2016
03/2016,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"42.879.265,17","52.552.895,10","52.194.783,73","136.478,42",,2016
03/2016,10 - Saúde,122 - Administração geral,"227.613.761,08","810.503.060,69","812.185.830,00","25.449.593,07",,2016
03/2016,10 - Saúde,301 - Atenção básica,"1.472.696.125,86","2.327.458.171,69","2.344.054.536,17","183.795.081,30",,2016
03/2016,10 - Saúde,423 - Assistência aos povos indígenas,"253.189.419,46","62.274.322,87","72.238.878,25","11.410.552,51",,2016
03/2016,10 - Saúde,303 - Suporte profilático e terapêutico,"1.415.014.950,25","867.842.765,17","798.076.935,99","506.253.035,55",,2016
03/2016,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"3.929.805.989,05","3.841.037.572,24","3.921.550.021,96","180.714.350,91",,2016
04/2016,10 - Saúde,306 - Alimentação e nutrição,"0,00","0,00","0,00","1.884.824,00",,2016
04/2016,10 - Saúde,846 - Outros encargos especiais,"0,00","0,00","0,00","2.786,40",,2016
04/2016,10 - Saúde,183 - Informação e inteligência,"0,00","0,00","0,00","16.300,00",,2016
04/2016,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","0,00",,2016
04/2016,10 - Saúde,541 - Preservação e conservação ambiental,"14.828,37","7.678,02","7.678,02","53.848,19",,2016
04/2016,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","21.060.000,00","4.665.143,45","2.414.249,78","509.568,19",,2016
04/2016,10 - Saúde,124 - Controle interno,"210.809,50","3.236,41","3.236,41","93.594,41",,2016
04/2016,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"4.928.698,86","6.961.162,30","4.880.393,00","416.248,55",,2016
04/2016,10 - Saúde,126 - Tecnologia da informação,"30.544.015,75","33.473.303,30","29.057.276,11","8.454.859,53",,2016
04/2016,10 - Saúde,121 - Planejamento e orçamento,"4.046.435,77","4.596.682,77","3.496.682,77","115.223,11",,2016
04/2016,10 - Saúde,125 - Normatização e fiscalização,"1.455.478,33","1.719.857,76","1.669.834,45","312.491,43",,2016
04/2016,10 - Saúde,512 - Saneamento básico urbano,"4.775.496,63","5.019.515,34","5.019.515,34","38.597.427,60",,2016
04/2016,10 - Saúde,128 - Formação de recursos humanos,"25.022.073,72","87.787.110,79","77.818.749,95","8.945.138,18",,2016
04/2016,10 - Saúde,131 - Comunicação social,"939.187,18","29.238.788,38","22.772.243,98","17.181.704,68",,2016
04/2016,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","305.908,65","406.184,70","397.184,72","0,00",,2016
04/2016,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"1.617.457,56","1.558.275,53","1.161.749,76","816.529,62",,2016
04/2016,10 - Saúde,301 - Atenção básica,"3.089.113.330,24","1.230.630.209,17","1.362.034.430,38","38.169.605,91",,2016
04/2016,10 - Saúde,511 - Saneamento básico rural,"2.227.229,38","1.875.935,47","1.977.974,92","2.522.730,82",,2016
04/2016,10 - Saúde,303 - Suporte profilático e terapêutico,"779.261.502,89","1.331.527.612,57","1.159.829.672,86","222.089.284,31",,2016
04/2016,10 - Saúde,423 - Assistência aos povos indígenas,"137.892.030,39","69.333.536,42","67.347.232,24","2.939.279,13",,2016
04/2016,10 - Saúde,304 - Vigilância sanitária,"59.701.867,92","69.191.671,35","68.568.150,99","1.157.688,45",,2016
04/2016,10 - Saúde,571 - Desenvolvimento científico,"28.637.300,18","15.904.189,26","14.149.383,53","3.990.939,36",,2016
04/2016,10 - Saúde,305 - Vigilância epidemiológica,"518.097.404,71","229.981.855,25","333.625.453,85","313.427.797,26",,2016
04/2016,10 - Saúde,122 - Administração geral,"154.248.473,88","788.715.103,34","787.198.355,96","12.716.581,65",,2016
04/2016,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"5.773.561,88","52.682.804,85","53.159.523,20","28.163,20",,2016
04/2016,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"13.490.547.180,12","4.054.148.916,65","3.995.962.110,31","117.537.336,04",,2016
05/2016,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","0,00",,2016
05/2016,10 - Saúde,306 - Alimentação e nutrição,"0,00","1.650.000,00","1.650.000,00","908.884,00",,2016
05/2016,10 - Saúde,124 - Controle interno,"8.500,00","3.799,83","3.799,83","50.473,47",,2016
05/2016,10 - Saúde,131 - Comunicação social,"1.957.960,11","20.032.784,65","7.109.926,96","91.493,25",,2016
05/2016,10 - Saúde,541 - Preservação e conservação ambiental,"5.238.950,00","8.949,99","8.424,77","47.500,00",,2016
